수강번호,학습자ID,강좌ID,등록일,시작일,완료일,진행률(%),상태,학습시간
E00389,L0162,C009,2026-02-10,2026-02-10,2026-03-06,100,완료,300
E00390,L0023,C048,2025-08-30,2025-08-30,2025-09-14,100,완료,455
E00391,L0041,C013,2026-05-10,,,0,미시작,95
E00392,L0160,C008,2026-03-12,2026-03-12,,77,진행중,198
E00393,L0146,C011,2025-09-24,2025-09-24,,32,진행중,344
E00394,L0159,C022,2026-02-27,2026-02-27,2026-03-14,100,완료,21
E00395,L0147,C043,2025-06-25,,,0,미시작,30
E00396,L0125,C018,2026-05-09,2026-05-09,2026-05-22,100,완료,69
E00397,L0160,C049,2025-08-27,2025-08-27,2025-09-10,100,완료,279
E00398,L0151,C010,2025-06-23,2025-06-23,,49,중단,177
E00399,L0028,C006,2026-04-17,,,0,미시작,180
E00400,L0075,C031,2025-08-15,2025-08-15,2025-09-24,100,완료,55
E00401,L0043,C038,2025-09-20,,,0,미시작,322
E00402,L0161,C015,2025-10-15,2025-10-15,,85,중단,158
E00403,L0081,C019,2026-03-13,2026-03-13,,85,중단,19
E00404,L0006,C023,2025-08-11,2025-08-11,,81,진행중,270
E00405,L0061,C039,2025-12-05,2025-12-05,2026-01-22,100,완료,305
E00406,L0107,C031,2025-08-18,2025-08-18,,47,진행중,367
E00407,L0070,C018,2026-03-01,2026-03-01,2026-03-17,100,완료,73
E00408,L0012,C004,2025-08-21,2025-08-21,2025-09-04,100,완료,8
E00409,L0134,C026,2025-06-19,2025-06-19,2025-08-05,100,완료,587
E00410,L0154,C028,2026-01-24,2026-01-24,2026-03-13,100,완료,13
E00411,L0004,C011,2025-09-24,2025-09-24,2025-10-09,100,완료,165
E00412,L0157,C040,2025-09-05,,,0,미시작,224
E00413,L0172,C010,2025-12-16,2025-12-16,2026-02-13,100,완료,428
E00414,L0103,C010,2026-02-08,2026-02-08,,44,중단,309
E00415,L0082,C027,2025-07-30,2025-07-30,2025-09-09,100,완료,66
E00416,L0171,C050,2026-04-14,2026-04-14,,16,진행중,384
E00417,L0008,C045,2025-10-07,2025-10-07,2025-11-18,100,완료,45
E00418,L0172,C004,2026-02-03,2026-02-03,2026-02-25,100,완료,289
E00419,L0102,C038,2026-02-01,2026-02-01,2026-03-07,100,완료,276
E00420,L0171,C045,2026-06-01,2026-06-01,2026-07-03,100,완료,23
E00421,L0029,C018,2025-10-13,2025-10-13,2025-11-24,100,완료,13
E00422,L0009,C049,2025-09-03,2025-09-03,,88,중단,187
E00423,L0102,C028,2026-01-29,2026-01-29,2026-02-28,100,완료,127
E00424,L0040,C027,2026-04-22,2026-04-22,,57,진행중,193
E00425,L0136,C039,2026-06-08,2026-06-08,,88,진행중,214
E00426,L0037,C049,2025-12-25,2025-12-25,2026-01-18,100,완료,312
E00427,L0174,C021,2025-11-05,2025-11-05,,76,중단,478
E00428,L0084,C009,2026-04-06,2026-04-06,2026-05-08,100,완료,61
E00429,L0018,C002,2026-03-29,2026-03-29,2026-04-12,100,완료,71
E00430,L0175,C025,2026-02-09,2026-02-09,2026-02-10,100,완료,361
E00431,L0198,C028,2025-06-15,2025-06-15,,16,진행중,217
E00432,L0089,C020,2026-01-03,2026-01-03,,17,진행중,3
E00433,L0069,C002,2025-08-13,,,0,미시작,191
E00434,L0082,C047,2026-01-04,,,0,미시작,342
E00435,L0184,C005,2026-02-23,2026-02-23,2026-04-03,100,완료,153
E00436,L0044,C017,2026-04-23,2026-04-23,2026-04-24,100,완료,406
E00437,L0025,C042,2026-04-19,2026-04-19,,78,진행중,31
E00438,L0023,C024,2025-12-06,2025-12-06,,49,진행중,481
E00439,L0038,C011,2026-01-29,2026-01-29,2026-03-12,100,완료,213
E00440,L0128,C003,2025-06-24,2025-06-24,,84,진행중,80
E00441,L0005,C037,2026-03-27,2026-03-27,,42,중단,134
E00442,L0052,C007,2025-12-13,2025-12-13,,36,진행중,17
E00443,L0090,C001,2025-07-10,2025-07-10,2025-08-20,100,완료,46
E00444,L0135,C010,2025-12-20,2025-12-20,2026-01-22,100,완료,340
E00445,L0025,C041,2025-11-23,2025-11-23,,14,진행중,3
E00446,L0167,C039,2026-02-10,2026-02-10,2026-03-19,100,완료,144
E00447,L0067,C018,2025-06-30,2025-06-30,2025-08-20,100,완료,84
E00448,L0115,C036,2025-11-20,2025-11-20,2026-01-10,100,완료,74
E00449,L0044,C038,2025-11-11,2025-11-11,,32,진행중,416
E00450,L0136,C016,2026-02-27,2026-02-27,2026-03-26,100,완료,212
E00451,L0074,C032,2025-07-31,2025-07-31,2025-09-15,100,완료,184
E00452,L0144,C022,2025-10-22,2025-10-22,,52,진행중,54
E00453,L0179,C048,2025-08-16,,,0,미시작,585
E00454,L0138,C042,2026-05-30,2026-05-30,,61,진행중,104
E00455,L0154,C049,2025-11-05,2025-11-05,2025-11-21,100,완료,323
E00456,L0002,C049,2026-05-13,2026-05-13,,75,진행중,101
E00457,L0104,C036,2026-03-01,2026-03-01,2026-04-11,100,완료,51
E00458,L0011,C011,2025-10-03,2025-10-03,,49,진행중,305
E00459,L0169,C023,2025-11-29,2025-11-29,2025-12-21,100,완료,173
E00460,L0166,C047,2025-07-27,2025-07-27,2025-07-28,100,완료,178
E00461,L0112,C002,2025-11-02,2025-11-02,2025-12-27,100,완료,116
E00462,L0107,C044,2025-10-16,2025-10-16,,14,진행중,318
E00463,L0004,C028,2025-07-02,2025-07-02,,34,진행중,253
E00464,L0084,C005,2026-02-03,,,0,미시작,140
E00465,L0143,C034,2026-02-04,2026-02-04,2026-03-19,100,완료,93
E00466,L0112,C014,2025-11-30,2025-11-30,,61,진행중,21
E00467,L0120,C049,2025-07-24,2025-07-24,,81,중단,111
E00468,L0042,C014,2025-09-14,2025-09-14,2025-10-08,100,완료,157
E00469,L0018,C020,2026-04-06,2026-04-06,,50,중단,59
E00470,L0025,C022,2025-11-22,2025-11-22,2025-11-28,100,완료,59
E00471,L0200,C018,2026-01-06,2026-01-06,2026-01-10,100,완료,11
E00472,L0105,C013,2026-05-16,2026-05-16,2026-05-29,100,완료,29
E00473,L0014,C036,2025-10-29,2025-10-29,2025-12-24,100,완료,67
E00474,L0033,C030,2026-01-24,2026-01-24,2026-02-02,100,완료,99
E00475,L0037,C030,2025-12-31,2025-12-31,2026-01-30,100,완료,35
E00476,L0131,C031,2025-12-20,2025-12-20,2026-01-07,100,완료,346
E00477,L0055,C038,2025-11-20,2025-11-20,2025-12-14,100,완료,50
E00478,L0106,C003,2025-11-08,2025-11-08,2025-12-31,100,완료,186
E00479,L0170,C046,2026-05-01,2026-05-01,,45,진행중,207
E00480,L0136,C015,2025-10-31,2025-10-31,2025-11-14,100,완료,221
E00481,L0173,C017,2025-08-28,2025-08-28,2025-09-16,100,완료,321
E00482,L0059,C016,2026-01-06,2026-01-06,,15,진행중,41
E00483,L0029,C049,2025-11-06,2025-11-06,,91,진행중,265
E00484,L0013,C026,2025-08-13,2025-08-13,,97,진행중,87
E00485,L0169,C013,2026-04-21,,,0,미시작,57
E00486,L0117,C001,2026-02-18,2026-02-18,2026-03-16,100,완료,28
E00487,L0067,C040,2026-04-01,2026-04-01,,25,진행중,221
E00488,L0140,C002,2025-09-03,2025-09-03,,82,진행중,216
E00489,L0002,C028,2026-01-12,2026-01-12,2026-02-17,100,완료,275
E00490,L0175,C046,2025-12-06,2025-12-06,,74,진행중,135
E00491,L0141,C012,2026-01-13,2026-01-13,2026-02-15,100,완료,391
E00492,L0030,C034,2025-10-19,2025-10-19,2025-12-13,100,완료,11
E00493,L0072,C013,2025-07-30,,,0,미시작,25
E00494,L0117,C040,2025-11-03,,,0,미시작,44
E00495,L0135,C003,2026-02-01,,,0,미시작,9
E00496,L0061,C005,2025-07-27,2025-07-27,,21,중단,210
E00497,L0077,C034,2026-03-13,2026-03-13,2026-05-10,100,완료,59
E00498,L0048,C044,2025-12-19,2025-12-19,2026-02-05,100,완료,102
E00499,L0058,C046,2025-06-26,2025-06-26,,26,진행중,32
E00500,L0007,C024,2025-08-13,,,0,미시작,405
E00501,L0171,C035,2026-03-08,2026-03-08,2026-03-31,100,완료,78
E00502,L0177,C042,2026-01-18,2026-01-18,2026-01-23,100,완료,62
E00503,L0075,C043,2025-10-09,2025-10-09,,51,중단,247
E00504,L0125,C011,2025-10-03,2025-10-03,2025-11-15,100,완료,27
E00505,L0146,C048,2026-03-06,2026-03-06,2026-03-30,100,완료,344
E00506,L0149,C028,2026-04-19,,,0,미시작,293
E00507,L0101,C005,2026-05-18,2026-05-18,2026-06-18,100,완료,197
E00508,L0031,C007,2026-02-14,2026-02-14,,65,진행중,51
E00509,L0155,C011,2025-07-06,2025-07-06,2025-07-12,100,완료,219
E00510,L0057,C005,2025-06-11,2025-06-11,2025-07-24,100,완료,161
E00511,L0046,C042,2025-07-03,2025-07-03,,16,중단,60
E00512,L0079,C021,2025-10-14,2025-10-14,,61,진행중,172
E00513,L0164,C044,2026-03-06,2026-03-06,,43,진행중,209
E00514,L0051,C027,2025-07-14,2025-07-14,,91,진행중,350
E00515,L0143,C008,2026-01-31,2026-01-31,2026-02-14,100,완료,157
E00516,L0096,C008,2025-08-01,2025-08-01,,62,진행중,289
E00517,L0113,C012,2025-07-21,2025-07-21,,36,진행중,88
E00518,L0051,C043,2026-02-12,2026-02-12,2026-03-15,100,완료,65
E00519,L0072,C042,2025-06-20,,,0,미시작,110
E00520,L0113,C033,2026-04-30,2026-04-30,2026-05-01,100,완료,98
E00521,L0140,C022,2025-11-08,2025-11-08,,31,진행중,52
E00522,L0065,C029,2025-11-18,2025-11-18,,20,진행중,149
E00523,L0078,C009,2026-02-06,2026-02-06,2026-02-26,100,완료,51
E00524,L0083,C013,2025-10-07,2025-10-07,2025-10-28,100,완료,46
E00525,L0015,C045,2026-05-06,2026-05-06,,45,진행중,95
E00526,L0069,C010,2025-10-13,2025-10-13,2025-12-02,100,완료,346
E00527,L0062,C004,2025-06-21,2025-06-21,2025-06-23,100,완료,32
E00528,L0144,C021,2025-12-30,2025-12-30,2026-01-10,100,완료,515
E00529,L0189,C034,2025-09-21,2025-09-21,,88,진행중,65
E00530,L0123,C012,2026-03-27,2026-03-27,,15,진행중,249
E00531,L0193,C038,2025-06-20,2025-06-20,,20,진행중,335
E00532,L0073,C007,2026-01-28,2026-01-28,,90,진행중,73
E00533,L0170,C006,2025-07-22,2025-07-22,,17,진행중,16
E00534,L0109,C012,2025-06-22,2025-06-22,,98,진행중,515
E00535,L0144,C009,2025-11-06,,,0,미시작,73
E00536,L0137,C009,2026-05-25,2026-05-25,2026-07-06,100,완료,413
E00537,L0037,C023,2025-12-06,2025-12-06,2026-01-21,100,완료,582
E00538,L0016,C050,2026-06-08,2026-06-08,2026-07-19,100,완료,231
E00539,L0076,C010,2026-02-16,2026-02-16,,20,진행중,325
E00540,L0145,C015,2025-11-27,2025-11-27,2026-01-23,100,완료,444
E00541,L0185,C011,2026-03-19,2026-03-19,2026-04-30,100,완료,411
E00542,L0045,C035,2025-07-07,2025-07-07,,98,진행중,7
E00543,L0083,C003,2026-03-23,2026-03-23,2026-04-29,100,완료,389
E00544,L0012,C044,2025-08-09,2025-08-09,,35,진행중,188
E00545,L0105,C025,2026-04-28,2026-04-28,2026-06-15,100,완료,217
E00546,L0096,C024,2026-01-07,2026-01-07,,77,진행중,458
E00547,L0035,C044,2025-11-19,2025-11-19,,46,진행중,13
E00548,L0191,C031,2026-04-30,2026-04-30,2026-05-22,100,완료,387
E00549,L0075,C008,2025-06-14,2025-06-14,,81,진행중,449
E00550,L0016,C035,2025-06-16,,,0,미시작,100
E00551,L0115,C039,2026-06-07,2026-06-07,2026-06-08,100,완료,179
E00552,L0096,C044,2025-08-28,2025-08-28,,17,진행중,135
E00553,L0004,C030,2025-07-11,2025-07-11,2025-07-18,100,완료,207
E00554,L0092,C048,2025-10-01,2025-10-01,,25,진행중,41
E00555,L0072,C001,2025-08-06,2025-08-06,2025-08-11,100,완료,217
E00556,L0189,C044,2026-03-09,,,0,미시작,332
E00557,L0155,C047,2025-12-30,2025-12-30,2026-01-11,100,완료,130
E00558,L0077,C015,2025-09-13,2025-09-13,2025-09-26,100,완료,459
E00559,L0008,C005,2025-10-06,2025-10-06,,82,진행중,199
E00560,L0174,C013,2025-09-08,,,0,미시작,85
E00561,L0153,C024,2026-05-01,,,0,미시작,245
E00562,L0141,C022,2025-08-03,2025-08-03,2025-09-08,100,완료,5
E00563,L0103,C050,2025-11-04,2025-11-04,2025-12-27,100,완료,113
E00564,L0171,C033,2025-07-28,2025-07-28,2025-09-21,100,완료,19
E00565,L0183,C040,2026-05-11,2026-05-11,,87,중단,70
E00566,L0020,C043,2026-03-17,2026-03-17,,40,진행중,102
E00567,L0093,C010,2026-05-21,2026-05-21,2026-07-14,100,완료,248
E00568,L0165,C034,2026-04-16,2026-04-16,2026-05-31,100,완료,45
E00569,L0055,C048,2026-02-04,,,0,미시작,511
E00570,L0082,C004,2025-08-29,2025-08-29,2025-08-30,100,완료,56
E00571,L0142,C035,2026-05-30,2026-05-30,2026-06-14,100,완료,17
E00572,L0113,C008,2025-08-10,2025-08-10,,15,진행중,478
E00573,L0166,C012,2026-05-22,2026-05-22,2026-05-23,100,완료,115
E00574,L0189,C041,2025-07-04,,,0,미시작,32
E00575,L0062,C015,2026-01-23,2026-01-23,,43,중단,208
E00576,L0047,C006,2025-10-08,2025-10-08,2025-10-21,100,완료,128
E00577,L0014,C009,2026-04-20,,,0,미시작,333
E00578,L0088,C006,2025-08-18,2025-08-18,2025-10-08,100,완료,100
E00579,L0087,C026,2026-03-28,2026-03-28,2026-05-13,100,완료,246
E00580,L0188,C044,2025-10-27,2025-10-27,2025-10-29,100,완료,83
E00581,L0055,C007,2026-01-19,2026-01-19,,51,중단,97
E00582,L0149,C039,2026-01-22,2026-01-22,,72,진행중,11
E00583,L0075,C036,2025-11-11,2025-11-11,,13,진행중,87
E00584,L0098,C043,2026-04-28,2026-04-28,2026-05-03,100,완료,193
E00585,L0037,C007,2025-12-14,2025-12-14,2026-01-01,100,완료,119
E00586,L0018,C041,2026-03-25,2026-03-25,2026-04-19,100,완료,88
E00587,L0153,C014,2026-05-11,2026-05-11,2026-06-01,100,완료,197
E00588,L0168,C042,2025-07-03,2025-07-03,,84,진행중,94
E00589,L0155,C009,2026-03-22,2026-03-22,,62,중단,134
E00590,L0053,C014,2025-10-23,2025-10-23,2025-11-11,100,완료,60
E00591,L0094,C034,2025-08-12,2025-08-12,,91,진행중,59
E00592,L0093,C026,2025-12-26,2025-12-26,2026-02-04,100,완료,41
E00593,L0181,C028,2025-07-16,2025-07-16,,47,진행중,288
E00594,L0092,C012,2026-02-21,2026-02-21,2026-02-25,100,완료,483
E00595,L0068,C013,2025-09-11,2025-09-11,2025-09-14,100,완료,49
E00596,L0089,C002,2025-06-29,2025-06-29,2025-08-17,100,완료,182
E00597,L0036,C034,2026-03-06,2026-03-06,,37,진행중,117
E00598,L0128,C030,2025-10-20,2025-10-20,,77,중단,78
E00599,L0071,C014,2026-04-22,2026-04-22,2026-05-13,100,완료,106
E00600,L0151,C019,2026-01-08,2026-01-08,2026-02-15,100,완료,3
E00601,L0090,C010,2025-10-20,2025-10-20,2025-10-27,100,완료,292
E00602,L0023,C032,2025-10-10,2025-10-10,,74,진행중,101
E00603,L0184,C046,2026-05-10,2026-05-10,,52,진행중,91
E00604,L0189,C047,2025-12-17,2025-12-17,2025-12-26,100,완료,210
E00605,L0142,C030,2025-11-13,2025-11-13,2025-12-01,100,완료,43
E00606,L0046,C010,2026-03-16,2026-03-16,,67,진행중,88
E00607,L0075,C008,2025-09-23,,,0,미시작,377
E00608,L0189,C047,2025-06-28,2025-06-28,2025-06-30,100,완료,363
E00609,L0081,C011,2026-01-02,2026-01-02,2026-02-07,100,완료,410
E00610,L0066,C021,2025-06-27,2025-06-27,,21,중단,440
E00611,L0148,C032,2025-10-27,2025-10-27,,23,진행중,110
E00612,L0022,C044,2025-09-27,2025-09-27,,89,진행중,6
E00613,L0076,C050,2025-12-31,2025-12-31,2026-02-24,100,완료,489
E00614,L0095,C014,2026-03-16,2026-03-16,,12,중단,110
E00615,L0150,C035,2026-05-29,,,0,미시작,103
E00616,L0016,C043,2026-04-19,,,0,미시작,271
E00617,L0198,C036,2025-10-08,2025-10-08,,18,진행중,84
E00618,L0036,C030,2025-06-25,2025-06-25,2025-08-05,100,완료,277
E00619,L0079,C012,2026-05-09,2026-05-09,2026-06-12,100,완료,597
E00620,L0077,C026,2026-01-22,2026-01-22,2026-02-21,100,완료,38
E00621,L0084,C010,2026-03-17,,,0,미시작,350
E00622,L0020,C046,2025-06-11,2025-06-11,,65,진행중,229
E00623,L0009,C004,2026-02-07,2026-02-07,,40,중단,14
E00624,L0107,C048,2025-06-13,2025-06-13,2025-08-01,100,완료,62
E00625,L0148,C004,2026-05-29,2026-05-29,,83,진행중,92
E00626,L0008,C005,2025-11-23,2025-11-23,,92,진행중,10
E00627,L0128,C030,2026-01-11,,,0,미시작,411
E00628,L0054,C024,2025-09-15,,,0,미시작,285
E00629,L0010,C033,2026-03-13,2026-03-13,2026-03-20,100,완료,203
E00630,L0151,C004,2026-04-13,2026-04-13,,61,진행중,191
E00631,L0054,C025,2025-09-26,2025-09-26,2025-11-01,100,완료,92
E00632,L0162,C025,2025-12-17,2025-12-17,2026-02-10,100,완료,281
E00633,L0105,C033,2026-01-26,2026-01-26,2026-03-16,100,완료,83
E00634,L0007,C019,2025-06-22,2025-06-22,2025-07-28,100,완료,153
E00635,L0088,C040,2026-03-28,2026-03-28,2026-04-19,100,완료,167
E00636,L0142,C040,2026-01-12,2026-01-12,2026-01-24,100,완료,129
E00637,L0044,C035,2025-06-16,2025-06-16,,88,진행중,44
E00638,L0084,C038,2025-08-27,2025-08-27,,32,진행중,422
E00639,L0144,C020,2026-01-20,2026-01-20,2026-03-20,100,완료,71
E00640,L0128,C048,2025-08-04,2025-08-04,,87,중단,9
E00641,L0185,C040,2025-11-18,,,0,미시작,89
E00642,L0093,C043,2025-11-03,2025-11-03,,71,중단,232
E00643,L0061,C012,2025-10-20,2025-10-20,2025-11-30,100,완료,373
E00644,L0036,C035,2025-11-02,2025-11-02,,77,진행중,101
E00645,L0156,C011,2026-03-13,2026-03-13,2026-03-20,100,완료,299
E00646,L0133,C029,2026-05-29,2026-05-29,2026-06-27,100,완료,346
E00647,L0083,C026,2026-03-08,2026-03-08,2026-03-29,100,완료,428
E00648,L0140,C008,2026-04-22,2026-04-22,,52,진행중,342
E00649,L0085,C015,2026-01-22,2026-01-22,2026-02-07,100,완료,588
E00650,L0165,C013,2025-07-19,2025-07-19,2025-09-14,100,완료,84
E00651,L0178,C001,2026-02-26,2026-02-26,2026-03-07,100,완료,137
E00652,L0182,C003,2026-03-24,2026-03-24,2026-04-04,100,완료,146
E00653,L0086,C020,2026-04-20,2026-04-20,,40,진행중,60
E00654,L0147,C004,2025-09-22,2025-09-22,2025-10-25,100,완료,352
E00655,L0139,C040,2026-04-27,2026-04-27,,48,진행중,220
E00656,L0180,C040,2026-04-30,2026-04-30,,38,중단,83
E00657,L0135,C031,2026-02-11,2026-02-11,2026-03-22,100,완료,234
E00658,L0183,C005,2026-02-21,2026-02-21,2026-03-01,100,완료,40
E00659,L0143,C035,2025-09-28,2025-09-28,2025-11-15,100,완료,37
E00660,L0113,C023,2025-12-26,2025-12-26,,44,진행중,7
E00661,L0175,C018,2025-08-10,2025-08-10,,34,중단,78
E00662,L0028,C049,2025-07-16,2025-07-16,2025-07-30,100,완료,40
E00663,L0179,C030,2025-10-05,2025-10-05,,88,진행중,210
E00664,L0188,C023,2026-01-21,2026-01-21,2026-03-04,100,완료,392
E00665,L0041,C010,2025-12-11,2025-12-11,,37,진행중,458
E00666,L0200,C027,2025-11-04,2025-11-04,,39,중단,239
E00667,L0085,C010,2025-08-13,2025-08-13,2025-09-13,100,완료,263
E00668,L0033,C013,2026-05-12,2026-05-12,,29,진행중,18
E00669,L0150,C044,2026-01-29,2026-01-29,,84,진행중,183
E00670,L0017,C042,2026-05-24,2026-05-24,,22,중단,37
E00671,L0089,C024,2025-09-25,2025-09-25,,20,중단,518
E00672,L0149,C007,2026-01-15,2026-01-15,2026-03-10,100,완료,92
E00673,L0185,C002,2026-05-04,2026-05-04,2026-06-15,100,완료,72
E00674,L0061,C015,2025-07-16,2025-07-16,2025-07-20,100,완료,306
E00675,L0189,C031,2025-08-29,2025-08-29,2025-10-21,100,완료,424
E00676,L0031,C032,2026-01-24,2026-01-24,,52,진행중,227
E00677,L0059,C040,2025-12-06,2025-12-06,,67,진행중,172
E00678,L0135,C023,2026-03-05,2026-03-05,2026-03-26,100,완료,76
E00679,L0161,C048,2025-07-01,2025-07-01,2025-08-06,100,완료,389
E00680,L0179,C020,2025-09-26,2025-09-26,2025-10-06,100,완료,115
E00681,L0021,C029,2025-07-17,2025-07-17,2025-09-01,100,완료,564
E00682,L0077,C008,2026-03-08,2026-03-08,2026-03-24,100,완료,193
E00683,L0079,C031,2026-05-13,2026-05-13,,93,진행중,583
E00684,L0046,C031,2025-12-17,2025-12-17,2026-01-25,100,완료,39
E00685,L0029,C008,2026-02-25,2026-02-25,2026-04-02,100,완료,58
E00686,L0100,C031,2025-07-31,2025-07-31,,95,진행중,429
E00687,L0066,C023,2026-04-08,2026-04-08,2026-05-24,100,완료,135
E00688,L0126,C047,2026-05-04,2026-05-04,,12,중단,156
E00689,L0049,C011,2026-03-28,2026-03-28,,26,진행중,139
E00690,L0048,C037,2025-07-06,2025-07-06,2025-07-31,100,완료,338
E00691,L0179,C016,2025-09-25,2025-09-25,2025-09-29,100,완료,100
E00692,L0117,C029,2026-01-31,2026-01-31,2026-02-03,100,완료,9
E00693,L0130,C003,2025-12-17,,,0,미시작,56
E00694,L0135,C035,2026-04-06,2026-04-06,,61,진행중,18
E00695,L0187,C012,2026-01-20,2026-01-20,2026-03-02,100,완료,166
E00696,L0047,C024,2025-12-02,2025-12-02,,19,진행중,202
E00697,L0022,C032,2025-11-14,,,0,미시작,245
E00698,L0052,C014,2025-11-08,2025-11-08,,36,중단,20
E00699,L0125,C036,2026-04-10,2026-04-10,2026-06-07,100,완료,59
E00700,L0185,C003,2025-09-24,2025-09-24,2025-10-06,100,완료,242
E00701,L0012,C043,2025-07-06,2025-07-06,,12,진행중,337
E00702,L0067,C024,2025-09-06,2025-09-06,2025-11-01,100,완료,479
E00703,L0183,C028,2025-12-12,,,0,미시작,310
E00704,L0063,C035,2026-05-06,2026-05-06,2026-05-18,100,완료,112
E00705,L0057,C034,2025-08-21,,,0,미시작,41
E00706,L0062,C047,2026-04-12,2026-04-12,,19,진행중,388
E00707,L0159,C040,2025-08-08,2025-08-08,,85,진행중,41
E00708,L0031,C005,2026-01-26,2026-01-26,2026-02-02,100,완료,235
E00709,L0166,C007,2026-06-10,2026-06-10,2026-07-12,100,완료,79
E00710,L0148,C035,2026-03-21,,,0,미시작,10
E00711,L0095,C007,2026-03-02,2026-03-02,2026-03-29,100,완료,32
E00712,L0176,C039,2026-04-23,2026-04-23,,88,진행중,353
E00713,L0159,C011,2026-01-30,2026-01-30,2026-03-18,100,완료,201
E00714,L0118,C046,2026-05-24,2026-05-24,2026-06-21,100,완료,53
E00715,L0162,C009,2026-05-17,2026-05-17,2026-07-12,100,완료,16
E00716,L0171,C011,2025-06-22,2025-06-22,2025-08-19,100,완료,358
E00717,L0191,C045,2025-11-22,,,0,미시작,17
E00718,L0050,C027,2025-10-16,,,0,미시작,238
E00719,L0108,C011,2025-08-27,,,0,미시작,324
E00720,L0159,C011,2026-05-27,2026-05-27,2026-06-04,100,완료,451
E00721,L0146,C045,2025-07-22,2025-07-22,,48,진행중,104
E00722,L0116,C033,2025-09-09,2025-09-09,2025-10-06,100,완료,176
E00723,L0006,C009,2025-07-24,,,0,미시작,71
E00724,L0124,C012,2026-05-11,2026-05-11,2026-07-03,100,완료,645
E00725,L0022,C041,2025-08-01,,,0,미시작,29
E00726,L0197,C019,2026-05-28,2026-05-28,,10,중단,30
E00727,L0114,C035,2025-10-16,2025-10-16,2025-12-06,100,완료,9
E00728,L0117,C004,2025-08-22,2025-08-22,,76,중단,274
E00729,L0175,C044,2025-06-16,2025-06-16,,14,진행중,211
E00730,L0193,C020,2026-04-04,2026-04-04,,29,중단,29
E00731,L0182,C020,2025-08-14,2025-08-14,,74,진행중,56
E00732,L0126,C047,2025-08-17,2025-08-17,,95,진행중,554
E00733,L0070,C045,2026-04-22,2026-04-22,,26,진행중,11
E00734,L0122,C043,2025-10-02,2025-10-02,2025-10-17,100,완료,230
E00735,L0020,C036,2026-05-16,2026-05-16,2026-06-23,100,완료,83
E00736,L0195,C006,2025-07-22,2025-07-22,2025-09-16,100,완료,144
E00737,L0136,C021,2026-02-20,2026-02-20,2026-03-21,100,완료,492
E00738,L0074,C034,2025-07-28,2025-07-28,2025-08-17,100,완료,47
E00739,L0028,C006,2025-11-01,2025-11-01,,68,진행중,139
E00740,L0130,C029,2025-12-31,2025-12-31,2026-02-10,100,완료,33
E00741,L0195,C046,2026-01-18,2026-01-18,2026-02-22,100,완료,229
E00742,L0145,C002,2025-11-29,,,0,미시작,197
E00743,L0006,C026,2025-08-03,2025-08-03,2025-09-13,100,완료,206
E00744,L0183,C038,2025-12-14,2025-12-14,2026-01-06,100,완료,467
E00745,L0094,C040,2025-06-17,2025-06-17,,65,진행중,70
E00746,L0109,C050,2026-06-01,2026-06-01,2026-07-14,100,완료,511
E00747,L0093,C047,2026-03-13,2026-03-13,,55,진행중,306
E00748,L0125,C009,2026-03-20,2026-03-20,,28,진행중,136
E00749,L0153,C038,2026-01-31,2026-01-31,2026-02-01,100,완료,241
E00750,L0078,C026,2025-06-21,,,0,미시작,26
E00751,L0113,C025,2025-08-07,2025-08-07,2025-10-04,100,완료,107
E00752,L0072,C042,2025-11-28,2025-11-28,,67,진행중,6
E00753,L0014,C029,2025-10-13,,,0,미시작,532
E00754,L0153,C036,2025-11-30,2025-11-30,,43,중단,56
E00755,L0056,C008,2025-12-24,2025-12-24,2026-02-13,100,완료,302
E00756,L0129,C030,2026-04-06,2026-04-06,,64,진행중,164
E00757,L0095,C010,2025-11-21,2025-11-21,,51,진행중,298
E00758,L0122,C027,2025-10-25,2025-10-25,,95,진행중,52
E00759,L0082,C033,2026-01-26,2026-01-26,2026-02-14,100,완료,100
E00760,L0177,C007,2026-04-29,2026-04-29,,93,진행중,107
E00761,L0192,C038,2025-10-03,2025-10-03,2025-10-26,100,완료,427
E00762,L0028,C013,2025-08-12,2025-08-12,2025-09-03,100,완료,66
E00763,L0077,C019,2026-02-15,,,0,미시작,22
E00764,L0195,C007,2026-02-24,2026-02-24,2026-03-02,100,완료,43
E00765,L0118,C041,2025-10-26,2025-10-26,2025-11-03,100,완료,92
E00766,L0048,C007,2025-10-28,2025-10-28,,70,진행중,107
E00767,L0024,C022,2025-12-27,,,0,미시작,98
E00768,L0141,C025,2025-10-02,2025-10-02,,40,진행중,107
E00769,L0171,C002,2025-10-15,2025-10-15,2025-11-25,100,완료,142
E00770,L0009,C038,2026-01-16,2026-01-16,2026-03-13,100,완료,240
E00771,L0011,C050,2025-08-04,2025-08-04,2025-08-06,100,완료,485
E00772,L0154,C027,2025-09-24,2025-09-24,2025-09-24,100,완료,363
E00773,L0032,C008,2026-01-18,2026-01-18,,87,중단,270
E00774,L0009,C032,2025-06-29,2025-06-29,,35,진행중,219
E00775,L0152,C047,2025-08-06,2025-08-06,,49,진행중,195
E00776,L0056,C041,2025-12-17,,,0,미시작,96
E00777,L0013,C038,2026-04-09,2026-04-09,,81,진행중,132
E00778,L0192,C024,2026-01-15,2026-01-15,,83,중단,260
E00779,L0049,C005,2025-06-13,2025-06-13,,78,진행중,140
