수강번호,학습자ID,강좌ID,시험점수,과제점수,참여도,합격여부,평가일
E00987,L0058,C013,74,93,낮음,합격,2026-01-08
E00989,L0023,C033,92,76,높음,불합격,2026-03-12
E00990,L0013,C011,78,98,높음,합격,2026-01-21
E00992,L0188,C004,78,74,높음,합격,2026-04-04
E00993,L0057,C021,96,96,높음,합격,2026-03-22
E00994,L0054,C024,61,99,보통,합격,2026-03-14
E00995,L0105,C040,79,74,보통,합격,2026-05-01
E00996,L0105,C025,79,74,보통,합격,2026-02-18
E00998,L0017,C009,69,80,보통,합격,2025-09-24
E00999,L0024,C043,66,99,낮음,합격,2026-05-18
E01000,L0013,C047,73,94,높음,합격,2026-01-01
